"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Canucks","VAN","15-16",82,3945.62,44.6,46.54,46.28,46.87,44.03,1.88,2.33,27.32,31.38,37.11,43.08,49.51,56.12,2,2.54,-0.45,-4.07,-5.96,-6.6,-0.54,6.86,92.58
"Jets","WPG","15-16",82,3864.42,50.24,51,51.03,51.04,50.13,2.23,2.21,29.33,28.18,40.59,38.96,54.78,52.55,2.34,2.33,0.02,1.15,1.63,2.23,0.01,7.61,92.15
"Capitals","WSH","15-16",82,3939.2,55.89,52.6,51.85,51.52,52.17,2.47,1.95,30.19,27.2,41.8,38.82,56.78,53.44,2.31,2.12,0.52,2.99,2.98,3.35,0.19,8.19,92.83
"Ducks","ANA","16-17",82,3869.67,53.14,50.98,50.48,50.18,52.21,2.24,1.98,29.14,28.02,41.18,40.4,54.66,54.27,2.44,2.23,0.26,1.12,0.79,0.39,0.21,7.69,92.94
"Coyotes","ARI","16-17",82,3983.93,44.07,44.31,43.68,44.18,41.66,1.98,2.51,26.91,33.82,37.95,48.93,50.43,63.71,1.96,2.75,-0.53,-6.92,-10.98,-13.28,-0.79,7.36,92.57
"Bruins","BOS","16-17",82,3900.22,49.18,55.67,55.77,55.22,54.61,2.19,2.26,32.61,25.97,45.79,36.31,60.81,49.31,2.39,1.98,-0.07,6.65,9.48,11.5,0.4,6.71,91.29
"Sabres","BUF","16-17",82,4030.58,44.82,47,47.06,46.96,47.71,1.88,2.31,29.03,32.74,39.59,44.53,51.61,58.29,2.07,2.27,-0.43,-3.71,-4.94,-6.69,-0.2,6.47,92.94
"Hurricanes","CAR","16-17",82,4072.67,46.03,50.29,50.33,51.19,50.81,2.13,2.49,29.03,28.7,41.18,40.63,56.3,53.69,2.5,2.42,-0.37,0.34,0.54,2.61,0.08,7.32,91.32
"Blue Jackets","CBJ","16-17",82,3992.88,56.02,51.73,51.05,51.01,50.52,2.52,1.98,31.26,29.17,42.19,40.46,56.65,54.4,2.47,2.42,0.54,2.09,1.73,2.25,0.05,8.05,93.23
"Flames","CGY","16-17",82,3887.82,49.26,50.56,50.11,50.54,48.86,2.15,2.21,28.49,27.86,39.36,39.19,53.81,52.65,2.17,2.27,-0.06,0.63,0.17,1.16,-0.1,7.55,92.05
"Blackhawks","CHI","16-17",82,4065.4,55,49.97,50.3,50.88,49.69,2.43,1.99,29.84,29.88,40.13,39.64,56.03,54.1,2.33,2.36,0.44,-0.04,0.48,1.93,-0.03,8.15,93.34
"Avalanche","COL","16-17",82,3939.28,36.52,45.11,46.05,46.69,44.43,1.71,2.97,26.78,32.59,37.43,43.85,50.54,57.71,1.86,2.32,-1.26,-5.8,-6.41,-7.17,-0.47,6.38,90.89
"Stars","DAL","16-17",82,3977.2,48.72,50.49,50.24,49.62,49.14,2.21,2.33,29.48,28.9,42,41.6,57.44,58.32,2.44,2.52,-0.12,0.58,0.41,-0.88,-0.09,7.51,91.94
"Red Wings","DET","16-17",82,3974.98,47.04,47.87,47.82,47.67,47.79,2.16,2.44,27.32,29.75,38.01,41.47,49.5,54.34,2.13,2.33,-0.27,-2.43,-3.46,-4.84,-0.2,7.92,91.81
"Oilers","EDM","16-17",82,4011.8,54.4,51.37,51.31,50.37,50.76,2.47,2.07,30.15,28.54,41.2,39.09,55.08,54.27,2.51,2.44,0.4,1.61,2.11,0.81,0.07,8.2,92.74
"Panthers","FLA","16-17",82,3898.92,44.76,49.09,49.95,50.27,47.78,2,2.46,30.37,31.5,41.63,41.71,53.87,53.29,2.15,2.35,-0.47,-1.13,-0.08,0.58,-0.2,6.57,92.18
"Kings","L.A","16-17",82,3974.82,48.47,54.23,54.35,54.26,53.44,1.9,2.02,30.28,25.55,43.65,36.67,59.07,49.78,2.41,2.1,-0.12,4.73,6.98,9.28,0.31,6.28,92.08
"Wild","MIN","16-17",82,4055.95,55.99,51.39,50.77,50.29,56.29,2.77,2.17,30.55,28.89,41.59,40.33,54.91,54.29,2.4,1.86,0.59,1.65,1.26,0.62,0.54,9.06,92.48
"Canadiens","MTL","16-17",82,4023.28,54.51,51.79,52.59,52.67,52.79,2.29,1.91,30.62,28.5,42.63,38.43,59.11,53.13,2.39,2.14,0.38,2.12,4.2,5.99,0.25,7.49,93.28
"Devils","N.J","16-17",82,3931.52,43.41,46.87,47.28,47.1,47.61,1.73,2.26,26.96,30.56,37.25,41.54,48.19,54.13,2.07,2.28,-0.53,-3.61,-4.29,-5.94,-0.21,6.43,92.61
"Predators","NSH","16-17",82,3952.57,53.09,51.4,51.04,51.47,52,2.41,2.13,30.9,29.21,42.73,40.99,57.75,54.46,2.29,2.11,0.28,1.69,1.74,3.3,0.18,7.79,92.72
"Islanders","NYI","16-17",82,4035.53,50.83,49.27,48.27,48.03,48.57,2.61,2.52,29.82,30.7,40.53,43.44,55.14,59.65,2.46,2.6,0.09,-0.88,-2.91,-4.51,-0.14,8.75,91.78
"Rangers","NYR","16-17",82,4010.72,51.86,48.74,48.88,48.04,49.09,2.49,2.31,28.32,29.79,39.89,41.73,52.65,56.94,2.39,2.48,0.18,-1.47,-1.84,-4.29,-0.09,8.79,92.24
"Senators","OTT","16-17",82,3920.57,48.83,50.02,48.71,48.44,49.15,2.06,2.16,29.35,29.33,39.88,42,54.73,58.26,2.19,2.27,-0.1,0.02,-2.12,-3.54,-0.08,7.03,92.63
"Flyers","PHI","16-17",82,3910.47,45.02,50.69,51.04,50.74,48.94,1.93,2.35,29.14,28.34,40.9,39.23,57.1,55.44,2.19,2.28,-0.43,0.8,1.67,1.67,-0.09,6.61,91.7
"Penguins","PIT","16-17",82,3953.07,55.23,51.75,51.68,50.67,52.78,2.82,2.28,33.15,30.91,44.12,41.25,58.62,57.08,2.78,2.49,0.53,2.24,2.87,1.55,0.29,8.5,92.61
"Sharks","S.J","16-17",82,4013.45,53.19,52.49,52.71,51.92,52.33,2.27,2,29.25,26.47,42.49,38.12,58.8,54.45,2.43,2.22,0.27,2.78,4.37,4.35,0.22,7.76,92.45
"Blues","STL","16-17",82,3942.2,52.7,50.76,50.78,50.59,51.17,2.33,2.09,28.1,27.26,38.9,37.7,52.3,51.09,2.11,2.02,0.24,0.84,1.2,1.22,0.1,8.29,92.33
"Lightning","T.B","16-17",82,3906.65,49.09,49.63,50.33,50.92,50.98,2.15,2.23,29.02,29.46,41.17,40.63,54.88,52.89,2.22,2.14,-0.08,-0.44,0.53,1.99,0.09,7.42,92.42
"Maple Leafs","TOR","16-17",82,3967.38,51.47,49.69,50.2,50.95,51.17,2.56,2.42,30.92,31.31,44.77,44.41,60.09,57.84,2.68,2.56,0.15,-0.39,0.35,2.25,0.12,8.29,92.28
"Canucks","VAN","16-17",82,4046.7,44.48,45.83,45.98,46.91,45.25,1.88,2.35,26.58,31.41,36.27,42.61,49.29,55.8,2.02,2.44,-0.47,-4.83,-6.34,-6.5,-0.42,7.09,92.51
"Jets","WPG","16-17",82,3893.98,48.64,48.48,49.05,48.86,50.71,2.41,2.54,28.43,30.21,39.09,40.61,52.05,54.47,2.34,2.27,-0.13,-1.78,-1.52,-2.42,0.07,8.46,91.59
"Capitals","WSH","16-17",82,3907.73,61.96,53.26,52.66,53.21,51.46,2.76,1.69,30.5,26.77,42.35,38.08,57.7,50.74,2.35,2.22,1.06,3.73,4.27,6.96,0.13,9.04,93.68
"Ducks","ANA","17-18",82,3939.42,53.26,49.27,49.06,49.22,49.07,2.38,2.09,29.85,30.73,42.36,43.98,56.5,58.29,2.45,2.55,0.29,-0.88,-1.62,-1.79,-0.09,7.98,93.2
"Coyotes","ARI","17-18",82,4026.92,46.15,47.28,46.53,47.65,46.34,2.08,2.43,28.26,31.51,40.29,46.3,55.78,61.29,2.15,2.48,-0.35,-3.25,-6.01,-5.51,-0.34,7.37,92.29
"Bruins","BOS","17-18",82,3950.15,54.58,54.15,54.13,54.15,54.43,2.52,2.1,32.11,27.19,45.04,38.17,59.93,50.75,2.47,2.07,0.42,4.92,6.88,9.18,0.4,7.85,92.28
"Sabres","BUF","17-18",82,3949.9,40.14,46.96,46.42,46.29,45.39,1.8,2.68,28.82,32.55,38.6,44.54,49.93,57.93,1.93,2.32,-0.88,-3.73,-5.95,-8,-0.39,6.24,91.76
"Hurricanes","CAR","17-18",82,4086,46.88,52.86,53.07,54.34,52.05,2.29,2.6,32.34,28.84,45.58,40.31,62.42,52.44,2.52,2.32,-0.31,3.5,5.27,9.98,0.2,7.08,91
"Blue Jackets","CBJ","17-18",82,4063.42,53.53,52.46,52.71,51.69,51.85,2.51,2.18,33.47,30.33,45.85,41.13,59.89,55.97,2.65,2.46,0.33,3.13,4.72,3.92,0.19,7.51,92.81
"Flames","CGY","17-18",82,3894.92,47.97,52.38,53.06,53.18,52.32,2.25,2.44,32.98,29.99,47.96,42.43,64.01,56.35,2.61,2.38,-0.19,2.99,5.53,7.66,0.23,6.81,91.87
"Blackhawks","CHI","17-18",82,3940.2,47.42,50.75,50.74,52.03,49.23,2.37,2.63,33.41,32.43,44.67,43.37,63.57,58.62,2.54,2.62,-0.26,0.99,1.31,4.96,-0.08,7.11,91.88
